"veh_value","exposure","clm","numclaims","claimcst0","veh_body","veh_age","gender","area","agecat","X_OBSTAT_"
"2075","0.82","0.6132785763",0,0,"0","HBACK",4,"F","B",5,"01101    0    0    0"
"2076","3.23","0.6132785763",0,0,"0","UTE",2,"M","A",3,"01101    0    0    0"
"2077","1.38","0.386036961",0,0,"0","SEDAN",3,"F","A",4,"01101    0    0    0"
"2078","5.74","0.6132785763",0,0,"0","SEDAN",2,"M","A",1,"01101    0    0    0"
"2079","0.88","0.0164271047",0,0,"0","SEDAN",3,"F","B",5,"01101    0    0    0"
"2080","0.26","0.5092402464",0,0,"0","MIBUS",4,"M","D",3,"01101    0    0    0"
"2081","0.55","0.386036961",0,0,"0","HBACK",4,"F","B",2,"01101    0    0    0"
"2082","0.71","0.1341546886",0,0,"0","SEDAN",4,"F","C",1,"01101    0    0    0"
"2083","2.1","0.6132785763",0,0,"0","STNWG",3,"F","B",3,"01101    0    0    0"
"2084","3.18","0.6105407255",0,0,"0","STNWG",2,"F","E",3,"01101    0    0    0"
"2085","1.17","0.2929500342",0,0,"0","HBACK",3,"F","B",2,"01101    0    0    0"
"2086","0.76","0.6105407255",1,1,"1426.0099983","HBACK",3,"F","C",5,"01101    0    0    0"
"2087","2.14","0.3969883641",0,0,"0","SEDAN",2,"F","C",6,"01101    0    0    0"
"2088","1.46","0.6132785763",0,0,"0","HBACK",1,"M","C",5,"01101    0    0    0"
"2089","1.23","0.386036961",0,0,"0","SEDAN",3,"M","C",3,"01101    0    0    0"
"2090","2.14","0.3559206023",0,0,"0","SEDAN",2,"F","C",4,"01101    0    0    0"
"2091","1","0.3887748118",0,0,"0","HBACK",3,"F","C",2,"01101    0    0    0"
"2092","2.99","0.2737850787",0,0,"0","STNWG",3,"M","D",2,"01101    0    0    0"
"2093","1.22","0.6105407255",0,0,"0","HBACK",3,"F","C",2,"01101    0    0    0"
"2094","1.56","0.2162902122",0,0,"0","HBACK",1,"F","D",6,"01101    0    0    0"
"2095","1.17","0.9171800137",0,0,"0","HBACK",3,"M","B",4,"01101    0    0    0"
"2096","0.24","0.386036961",0,0,"0","HBACK",4,"F","B",6,"01101    0    0    0"
"2097","1.8","0.6132785763",0,0,"0","SEDAN",2,"F","B",6,"01101    0    0    0"
"2098","0.68","0.6132785763",0,0,"0","HBACK",4,"F","C",4,"01101    0    0    0"
"2099","2.29","0.2162902122",0,0,"0","SEDAN",1,"F","A",3,"01101    0    0    0"
"2100","6.44","0.6132785763",0,0,"0","STNWG",2,"F","D",5,"01101    0    0    0"
"2101","2.07","0.5776865161",0,0,"0","SEDAN",2,"F","A",4,"01101    0    0    0"
"2102","0.82","0.6324435318",0,0,"0","HBACK",4,"F","B",4,"01101    0    0    0"
"2103","3.18","0.3887748118",1,2,"2212.6899981","STNWG",2,"F","A",5,"01101    0    0    0"
"2104","0.84","0.3887748118",0,0,"0","HBACK",3,"F","C",2,"01101    0    0    0"
"2105","1.06","0.3887748118",0,0,"0","HBACK",3,"F","A",4,"01101    0    0    0"
"2106","1.85","0.8952772074",0,0,"0","HBACK",2,"F","B",2,"01101    0    0    0"
"2107","0.95","0.6105407255",0,0,"0","SEDAN",4,"M","A",6,"01101    0    0    0"
"2108","5.41","0.6105407255",0,0,"0","COUPE",1,"F","B",4,"01101    0    0    0"
"2109","1.66","0.5092402464",0,0,"0","SEDAN",2,"M","C",4,"01101    0    0    0"
"2110","0.79","0.6105407255",0,0,"0","HBACK",3,"F","D",6,"01101    0    0    0"
"2111","0.84","0.3887748118",0,0,"0","HBACK",3,"F","C",2,"01101    0    0    0"
"2112","3.09","0.4490075291",0,0,"0","STNWG",3,"M","A",2,"01101    0    0    0"
"2113","1.22","0.6105407255",0,0,"0","SEDAN",3,"F","C",4,"01101    0    0    0"
"2114","1.12","0.3887748118",0,0,"0","UTE",3,"F","E",3,"01101    0    0    0"
"2115","0.8","0.6105407255",0,0,"0","UTE",4,"M","B",4,"01101    0    0    0"
"2116","0.87","0.6105407255",0,0,"0","HBACK",3,"F","A",6,"01101    0    0    0"
"2117","1.64","0.6132785763",0,0,"0","SEDAN",3,"F","A",3,"01101    0    0    0"
"2118","0.54","0.6132785763",0,0,"0","SEDAN",4,"M","A",4,"01101    0    0    0"
"2119","0.71","0.1368925394",0,0,"0","SEDAN",4,"M","C",2,"01101    0    0    0"
"2120","0.39","0.6105407255",0,0,"0","SEDAN",4,"F","E",2,"01101    0    0    0"
"2121","1.74","0.2984257358",0,0,"0","SEDAN",2,"F","C",3,"01101    0    0    0"
"2122","0.97","0.6132785763",0,0,"0","SEDAN",3,"F","A",6,"01101    0    0    0"
"2123","1.4","0.6105407255",0,0,"0","SEDAN",3,"M","B",4,"01101    0    0    0"
"2124","3.1","0.6105407255",0,0,"0","UTE",2,"M","D",4,"01101    0    0    0"
"2125","2.31","0.6132785763",0,0,"0","SEDAN",2,"F","D",5,"01101    0    0    0"
"2126","2.45","0.462696783",0,0,"0","STNWG",3,"M","C",4,"01101    0    0    0"
"2127","0.5","0.386036961",0,0,"0","SEDAN",4,"M","E",1,"01101    0    0    0"
"2128","2.69","0.3011635866",0,0,"0","TRUCK",3,"M","E",1,"01101    0    0    0"
"2129","1.92","0.6132785763",0,0,"0","STNWG",4,"F","B",2,"01101    0    0    0"
"2130","2.3","0.0027378508",0,0,"0","STNWG",3,"F","D",3,"01101    0    0    0"
"2131","1.93","0.6844626968",0,0,"0","SEDAN",2,"F","D",4,"01101    0    0    0"
"2132","1.93","0.5612594114",0,0,"0","STNWG",4,"F","C",2,"01101    0    0    0"
"2133","1.58","0.1314168378",0,0,"0","STNWG",3,"F","D",2,"01101    0    0    0"
"2134","2.66","0.0191649555",0,0,"0","STNWG",2,"M","C",2,"01101    0    0    0"
"2135","1.19","0.386036961",0,0,"0","SEDAN",4,"F","A",4,"01101    0    0    0"
"2136","2.59","0.6132785763",0,0,"0","MIBUS",3,"F","A",5,"01101    0    0    0"
"2137","1.01","0.372347707",0,0,"0","SEDAN",3,"F","E",4,"01101    0    0    0"
"2138","1.46","0.6105407255",0,0,"0","SEDAN",3,"M","C",4,"01101    0    0    0"
"2139","3.67","0.3915126626",0,0,"0","STNWG",2,"M","E",5,"01101    0    0    0"
"2140","3.15","0.386036961",0,0,"0","STNWG",2,"F","E",2,"01101    0    0    0"
"2141","0.38","0.5722108145",0,0,"0","HBACK",4,"F","A",3,"01101    0    0    0"
"2142","1.23","0.1943874059",0,0,"0","HBACK",2,"M","A",5,"01101    0    0    0"
"2143","0.79","0.1642710472",0,0,"0","SEDAN",3,"F","C",5,"01101    0    0    0"
"2144","2.61","0.386036961",1,1,"200","STNWG",2,"F","A",4,"01101    0    0    0"
"2145","1.17","0.6105407255",0,0,"0","SEDAN",3,"M","D",5,"01101    0    0    0"
"2146","1.25","0.6132785763",0,0,"0","STNWG",3,"F","B",4,"01101    0    0    0"
"2147","0.54","0.2135523614",0,0,"0","SEDAN",4,"F","E",4,"01101    0    0    0"
"2148","1.11","0.6105407255",0,0,"0","UTE",4,"F","B",5,"01101    0    0    0"
"2149","0.65","0.6105407255",0,0,"0","HBACK",4,"M","C",3,"01101    0    0    0"
"2150","1.11","0.1505817933",0,0,"0","STNWG",4,"M","B",4,"01101    0    0    0"
"2151","2.51","0.6132785763",0,0,"0","STNWG",3,"M","B",5,"01101    0    0    0"
"2152","1.06","0.6105407255",0,0,"0","SEDAN",3,"M","B",3,"01101    0    0    0"
"2153","0.51","0.386036961",0,0,"0","UTE",4,"M","B",4,"01101    0    0    0"
"2154","1.93","0.8459958932",0,0,"0","STNWG",4,"F","D",4,"01101    0    0    0"
"2155","4.31","0.6105407255",0,0,"0","STNWG",2,"M","A",3,"01101    0    0    0"
"2156","1.29","0.1368925394",0,0,"0","HBACK",2,"F","A",1,"01101    0    0    0"
"2157","1.57","0.2162902122",0,0,"0","TRUCK",4,"M","E",2,"01101    0    0    0"
"2158","1.46","0.5092402464",0,0,"0","UTE",3,"M","C",3,"01101    0    0    0"
"2159","1.97","0.2546201232",0,0,"0","SEDAN",2,"F","D",2,"01101    0    0    0"
"2160","1.5","0.5722108145",0,0,"0","HBACK",1,"F","B",3,"01101    0    0    0"
"2161","0.78","0.5092402464",0,0,"0","HBACK",3,"M","C",4,"01101    0    0    0"
"2162","3.19","0.0027378508",0,0,"0","HDTOP",3,"M","F",2,"01101    0    0    0"
"2163","2.11","0.5092402464",1,1,"353.76999998","SEDAN",2,"M","C",2,"01101    0    0    0"
"2164","6.16","0.2135523614",0,0,"0","STNWG",1,"F","D",3,"01101    0    0    0"
"2165","2.999","0.5065023956",0,0,"0","STNWG",1,"F","A",4,"01101    0    0    0"
"2166","0.38","0.9171800137",0,0,"0","SEDAN",4,"F","C",2,"01101    0    0    0"
"2167","1.97","0.2683093771",1,1,"200","SEDAN",2,"F","C",4,"01101    0    0    0"
"2168","1.53","0.1122518823",0,0,"0","SEDAN",2,"M","A",2,"01101    0    0    0"
"2169","1.32","0.0602327173",0,0,"0","SEDAN",2,"F","C",5,"01101    0    0    0"
"2170","1.18","0.5092402464",0,0,"0","STNWG",3,"F","A",2,"01101    0    0    0"
"2171","0.44","0.2162902122",0,0,"0","HBACK",4,"M","E",5,"01101    0    0    0"
"2172","2.95","0.9144421629",0,0,"0","STNWG",3,"F","A",4,"01101    0    0    0"
"2173","1.47","0.2984257358",0,0,"0","SEDAN",2,"F","D",4,"01101    0    0    0"
"2174","1.44","0.2162902122",0,0,"0","HDTOP",4,"M","C",5,"01101    0    0    0"
"2175","1.48","0.2354551677",1,1,"9278.8599854","HBACK",1,"M","D",1,"01101    0    0    0"
"2176","1.72","0.5941136208",0,0,"0","SEDAN",2,"M","F",2,"01101    0    0    0"
"2177","3.72","0.5092402464",0,0,"0","SEDAN",1,"F","A",2,"01101    0    0    0"
"2178","0.77","0.0410677618",0,0,"0","HBACK",3,"M","C",5,"01101    0    0    0"
"2179","1.56","0.3011635866",0,0,"0","HBACK",2,"F","C",4,"01101    0    0    0"
"2180","1.47","0.7693360712",0,0,"0","SEDAN",3,"M","B",3,"01101    0    0    0"
"2181","0.7","0.2929500342",0,0,"0","SEDAN",4,"F","E",3,"01101    0    0    0"
"2182","1.4","0.9171800137",1,1,"200","SEDAN",3,"F","C",3,"01101    0    0    0"
"2183","2.16","0.1122518823",0,0,"0","STNWG",3,"M","A",5,"01101    0    0    0"
"2184","5.553","0.0574948665",0,0,"0","STNWG",1,"F","D",4,"01101    0    0    0"
"2185","0.84","0.59137577",1,1,"2669.8399963","HBACK",3,"M","C",5,"01101    0    0    0"
"2186","1.26","0.2135523614",0,0,"0","HBACK",1,"F","B",4,"01101    0    0    0"
"2187","0.62","0.5092402464",0,0,"0","HBACK",4,"M","D",3,"01101    0    0    0"
"2188","2.29","0.5092402464",0,0,"0","SEDAN",1,"F","C",4,"01101    0    0    0"
"2189","2.34","0.0602327173",0,0,"0","MIBUS",2,"M","C",4,"01101    0    0    0"
"2190","0.34","0.3011635866",0,0,"0","HBACK",4,"F","C",4,"01101    0    0    0"
"2191","1.82","0.2299794661",0,0,"0","STNWG",4,"M","B",2,"01101    0    0    0"
"2192","4.26","0.0027378508",0,0,"0","TRUCK",1,"F","B",5,"01101    0    0    0"
"2193","0.95","0.0821355236",0,0,"0","SEDAN",3,"M","E",6,"01101    0    0    0"
"2194","1.98","0.2162902122",0,0,"0","SEDAN",2,"F","C",4,"01101    0    0    0"
"2195","4.37","0.5037645448",0,0,"0","STNWG",1,"F","D",2,"01101    0    0    0"
"2196","2.75","0.5092402464",0,0,"0","STNWG",1,"F","D",3,"01101    0    0    0"
"2197","0.41","0.4791238877",0,0,"0","COUPE",4,"M","C",1,"01101    0    0    0"
"2198","2.31","0.3559206023",0,0,"0","HBACK",1,"F","D",4,"01101    0    0    0"
"2199","3.26","0.2108145106",0,0,"0","STNWG",2,"M","F",2,"01101    0    0    0"
"2200","3.399","0.2162902122",0,0,"0","STNWG",1,"M","C",4,"01101    0    0    0"
"2201","0.95","0.7063655031",0,0,"0","SEDAN",4,"M","B",2,"01101    0    0    0"
"2202","1.35","0.5065023956",1,1,"200","SEDAN",3,"M","C",2,"01101    0    0    0"
"2203","3","0.6707734428",0,0,"0","HBACK",2,"M","A",2,"01101    0    0    0"
"2204","2.29","0.0821355236",0,0,"0","HBACK",2,"F","B",3,"01101    0    0    0"
"2205","0.71","0.5065023956",0,0,"0","SEDAN",4,"F","B",3,"01101    0    0    0"
"2206","1.78","0.59137577",0,0,"0","STNWG",3,"F","F",3,"01101    0    0    0"
"2207","5.47","0.5092402464",0,0,"0","STNWG",1,"F","F",3,"01101    0    0    0"
"2208","1.85","0.0711841205",0,0,"0","HBACK",2,"M","B",1,"01101    0    0    0"
"2209","1.28","0.5092402464",0,0,"0","STNWG",3,"M","D",5,"01101    0    0    0"
"2210","1.9","0.052019165",0,0,"0","HBACK",2,"F","A",2,"01101    0    0    0"
"2211","1.15","0.5092402464",0,0,"0","HBACK",2,"F","A",3,"01101    0    0    0"
"2212","1.22","0.4134154689",0,0,"0","MIBUS",4,"M","E",4,"01101    0    0    0"
"2213","1.66","0.2162902122",0,0,"0","HBACK",2,"M","C",1,"01101    0    0    0"
"2214","0.34","0.2162902122",1,1,"640.72727203","HBACK",4,"F","A",4,"01101    0    0    0"
"2215","1.33","0.5092402464",0,0,"0","HBACK",3,"F","C",1,"01101    0    0    0"
"2216","0.94","0.2491444216",0,0,"0","UTE",4,"M","F",2,"01101    0    0    0"
"2217","0.89","0.2135523614",0,0,"0","HBACK",3,"M","A",5,"01101    0    0    0"
"2218","2.47","0.2546201232",0,0,"0","STNWG",3,"M","F",2,"01101    0    0    0"
"2219","1.33","0.5092402464",0,0,"0","STNWG",4,"F","E",3,"01101    0    0    0"
"2220","1.51","0.5092402464",0,0,"0","HDTOP",4,"M","A",2,"01101    0    0    0"
"2221","1.45","0.9911019849",1,1,"390","UTE",4,"M","E",1,"01101    0    0    0"
"2222","1.42","0.5092402464",0,0,"0","HBACK",1,"F","C",4,"01101    0    0    0"
"2223","1.56","0.2162902122",0,0,"0","SEDAN",3,"M","C",5,"01101    0    0    0"
"2224","4.69","0.2162902122",0,0,"0","TRUCK",1,"M","D",5,"01101    0    0    0"
"2225","1.98","0.1697467488",0,0,"0","SEDAN",2,"F","A",5,"01101    0    0    0"
"2226","2.17","0.8377823409",0,0,"0","HDTOP",3,"F","F",3,"01101    0    0    0"
"2227","0.67","0.2162902122",0,0,"0","COUPE",4,"F","C",3,"01101    0    0    0"
"2228","2.52","0.7830253251",0,0,"0","TRUCK",3,"M","E",1,"01101    0    0    0"
"2229","1.26","0.2135523614",0,0,"0","HBACK",1,"F","C",2,"01101    0    0    0"
"2230","2.83","0.4955509925",0,0,"0","TRUCK",3,"F","A",2,"01101    0    0    0"
"2231","3.09","0.8240930869",0,0,"0","STNWG",1,"M","A",3,"01101    0    0    0"
"2232","4.52","0.2162902122",0,0,"0","STNWG",1,"M","A",4,"01101    0    0    0"
"2233","0.58","0.0027378508",0,0,"0","HBACK",4,"F","B",2,"01101    0    0    0"
"2234","1.23","0.2162902122",0,0,"0","HBACK",2,"F","B",4,"01101    0    0    0"
"2235","1.21","0.2162902122",0,0,"0","HBACK",3,"F","A",1,"01101    0    0    0"
"2236","0.6","0.2162902122",0,0,"0","HBACK",4,"F","A",2,"01101    0    0    0"
"2237","1.47","0.205338809",0,0,"0","HBACK",1,"F","C",5,"01101    0    0    0"
"2238","7.42","0.2162902122",0,0,"0","SEDAN",2,"M","B",3,"01101    0    0    0"
"2239","3.61","0.0602327173",0,0,"0","STNWG",2,"M","D",3,"01101    0    0    0"
"2240","0.81","0.2354551677",0,0,"0","HBACK",3,"F","E",3,"01101    0    0    0"
"2241","5.553","0.0602327173",0,0,"0","STNWG",1,"M","F",2,"01101    0    0    0"
"2242","1.4","0.4079397673",0,0,"0","HBACK",1,"F","E",2,"01101    0    0    0"
"2243","4","0.386036961",0,0,"0","STNWG",2,"M","D",2,"01101    0    0    0"
"2244","0.46","0.1642710472",0,0,"0","HBACK",4,"F","B",2,"01101    0    0    0"
"2245","1.09","0.0136892539",0,0,"0","STNWG",3,"F","B",3,"01101    0    0    0"
"2246","1.57","0.7885010267",0,0,"0","HBACK",2,"F","E",6,"01101    0    0    0"
"2247","3.79","0.0602327173",0,0,"0","STNWG",1,"M","D",6,"01101    0    0    0"
"2248","1.23","0.5065023956",1,1,"3105.6999969","HBACK",2,"F","D",2,"01101    0    0    0"
"2249","4.37","0.3203285421",0,0,"0","STNWG",1,"F","F",3,"01101    0    0    0"
"2250","3.85","0.2162902122",1,1,"1747.4399986","STNWG",1,"F","C",3,"01101    0    0    0"
"2251","2.51","0.2354551677",0,0,"0","STNWG",2,"F","E",3,"01101    0    0    0"
"2252","5.12","0.2108145106",0,0,"0","STNWG",2,"M","C",5,"01101    0    0    0"
"2253","1.9","0.5065023956",0,0,"0","SEDAN",1,"F","B",4,"01101    0    0    0"
"2254","1.3","0.2162902122",0,0,"0","SEDAN",3,"F","A",1,"01101    0    0    0"
"2255","1.23","0.3750855578",0,0,"0","HBACK",2,"F","B",4,"01101    0    0    0"
"2256","2.7","0.8952772074",0,0,"0","STNWG",3,"F","C",4,"01101    0    0    0"
"2257","2.74","0.2162902122",0,0,"0","UTE",2,"M","B",2,"01101    0    0    0"
"2258","0.76","0.8377823409",0,0,"0","TRUCK",4,"M","B",2,"01101    0    0    0"
"2259","3.849","0.3258042437",0,0,"0","STNWG",1,"F","B",2,"01101    0    0    0"
"2260","1.12","0.3011635866",0,0,"0","SEDAN",3,"F","A",3,"01101    0    0    0"
"2261","1.54","0.6351813826",0,0,"0","SEDAN",3,"M","D",5,"01101    0    0    0"
"2262","2.15","0.2108145106",0,0,"0","HBACK",1,"M","C",4,"01101    0    0    0"
"2263","2.59","0.7830253251",0,0,"0","STNWG",3,"M","E",1,"01101    0    0    0"
"2264","0.85","0.2354551677",0,0,"0","HBACK",3,"M","C",4,"01101    0    0    0"
"2265","1.62","0.2354551677",0,0,"0","SEDAN",2,"F","D",4,"01101    0    0    0"
"2266","1.32","0.2162902122",0,0,"0","HBACK",3,"F","F",2,"01101    0    0    0"
"2267","1.48","0.3449691992",0,0,"0","SEDAN",2,"F","C",3,"01101    0    0    0"
"2268","1.22","0.8377823409",0,0,"0","HBACK",3,"M","F",2,"01101    0    0    0"
"2269","0.9","0.0438056126",0,0,"0","HBACK",3,"F","A",4,"01101    0    0    0"
"2270","1.72","0.59137577",0,0,"0","HBACK",2,"F","E",2,"01101    0    0    0"
"2271","0.89","0.2327173169",0,0,"0","SEDAN",3,"F","A",5,"01101    0    0    0"
"2272","1.01","0.5694729637",0,0,"0","SEDAN",3,"M","D",3,"01101    0    0    0"
"2273","1.22","0.7967145791",0,0,"0","HBACK",3,"F","B",2,"01101    0    0    0"
"2274","2.45","0.8076659822",0,0,"0","SEDAN",2,"F","E",6,"01101    0    0    0"
"2275","1.15","0.59137577",0,0,"0","HBACK",3,"F","D",1,"01101    0    0    0"
"2276","1.57","0.7665982204",0,0,"0","HBACK",2,"F","C",2,"01101    0    0    0"
"2277","1.37","0.8377823409",0,0,"0","SEDAN",2,"M","A",2,"01101    0    0    0"
"2278","1.77","0.7830253251",0,0,"0","STNWG",4,"M","C",4,"01101    0    0    0"
"2279","0.8","0.2299794661",0,0,"0","HBACK",4,"F","A",1,"01101    0    0    0"
"2280","1.01","0.0821355236",0,0,"0","STNWG",4,"F","C",2,"01101    0    0    0"
"2281","0.85","0.9171800137",0,0,"0","HBACK",3,"F","A",3,"01101    0    0    0"
"2282","1.94","0.7118412046",0,0,"0","HDTOP",4,"M","F",3,"01101    0    0    0"
"2283","0.93","0.5065023956",0,0,"0","HBACK",3,"F","B",3,"01101    0    0    0"
"2284","1.73","0.5065023956",0,0,"0","STNWG",3,"F","D",1,"01101    0    0    0"
"2285","1.06","0.9993155373",0,0,"0","HDTOP",4,"M","A",4,"01101    0    0    0"
"2286","0.37","0.9171800137",0,0,"0","HBACK",4,"M","A",4,"01101    0    0    0"
"2287","2.23","0.2162902122",0,0,"0","STNWG",3,"M","C",2,"01101    0    0    0"
"2288","1.06","0.334017796",0,0,"0","STNWG",4,"F","E",5,"01101    0    0    0"
"2289","0.97","0.3230663929",0,0,"0","SEDAN",3,"M","B",6,"01101    0    0    0"
"2290","0.88","0.2354551677",0,0,"0","SEDAN",3,"F","B",2,"01101    0    0    0"
"2291","3.499","0.2135523614",0,0,"0","SEDAN",1,"F","C",3,"01101    0    0    0"
"2292","1.54","0.59137577",0,0,"0","HDTOP",4,"M","C",2,"01101    0    0    0"
"2293","1.68","0.8377823409",0,0,"0","UTE",4,"M","F",1,"01101    0    0    0"
"2294","1.17","0.6078028747",0,0,"0","SEDAN",3,"M","D",6,"01101    0    0    0"
"2295","1.3","0.6324435318",0,0,"0","HBACK",2,"F","C",5,"01101    0    0    0"
"2296","1.86","0.6078028747",0,0,"0","HBACK",3,"F","C",4,"01101    0    0    0"
"2297","2.4","0.5694729637",0,0,"0","STNWG",3,"F","A",5,"01101    0    0    0"
"2298","2.01","0.7638603696",0,0,"0","HBACK",1,"M","A",2,"01101    0    0    0"
"2299","1.75","0.4435318275",0,0,"0","SEDAN",2,"F","C",5,"01101    0    0    0"
"2300","1.19","0.6078028747",0,0,"0","STNWG",4,"M","D",3,"01101    0    0    0"
"2301","1.38","0.2162902122",0,0,"0","STNWG",4,"F","B",4,"01101    0    0    0"
"2302","1.52","0.2135523614",0,0,"0","SEDAN",3,"F","D",3,"01101    0    0    0"
"2303","1.4","0.59137577",0,0,"0","STNWG",4,"M","F",2,"01101    0    0    0"
"2304","1.69","0.3915126626",0,0,"0","SEDAN",3,"M","C",5,"01101    0    0    0"
"2305","1.47","0.6078028747",0,0,"0","SEDAN",2,"F","B",3,"01101    0    0    0"
"2306","1.5","0.6078028747",0,0,"0","HBACK",3,"F","A",5,"01101    0    0    0"
"2307","2.04","0.6078028747",0,0,"0","HBACK",3,"F","B",4,"01101    0    0    0"
"2308","1.4","0.6078028747",0,0,"0","STNWG",4,"M","B",4,"01101    0    0    0"
"2309","3.55","0.6078028747",0,0,"0","STNWG",2,"F","E",3,"01101    0    0    0"
"2310","3.87","0.2162902122",0,0,"0","STNWG",2,"F","B",2,"01101    0    0    0"
"2311","1.31","0.2984257358",0,0,"0","STNWG",4,"M","F",3,"01101    0    0    0"
"2312","1.83","0.6078028747",0,0,"0","SEDAN",1,"F","C",6,"01101    0    0    0"
"2313","1.84","0.6078028747",0,0,"0","SEDAN",2,"F","C",5,"01101    0    0    0"
"2314","3.395","0.1560574949",0,0,"0","STNWG",1,"F","D",4,"01101    0    0    0"
"2315","0.61","0.6078028747",0,0,"0","SEDAN",4,"M","B",6,"01101    0    0    0"
"2316","0.86","0.5256673511",0,0,"0","SEDAN",3,"F","B",6,"01101    0    0    0"
"2317","0.41","0.6078028747",0,0,"0","SEDAN",4,"F","E",4,"01101    0    0    0"
"2318","1.6835","0.3915126626",0,0,"0","HBACK",1,"F","C",4,"01101    0    0    0"
"2319","2.47","0.2409308693",0,0,"0","STNWG",3,"F","B",4,"01101    0    0    0"
"2320","1.93","0.6078028747",0,0,"0","SEDAN",2,"F","D",5,"01101    0    0    0"
"2321","0.37","0.6078028747",0,0,"0","SEDAN",4,"M","A",5,"01101    0    0    0"
"2322","1.13","0.6078028747",0,0,"0","SEDAN",3,"M","B",6,"01101    0    0    0"
"2323","3.39","0.6078028747",0,0,"0","STNWG",3,"M","B",3,"01101    0    0    0"
"2324","0.55","0.7501711157",0,0,"0","SEDAN",4,"M","C",4,"01101    0    0    0"
"2325","0.39","0.6078028747",0,0,"0","SEDAN",4,"M","C",6,"01101    0    0    0"
"2326","0.83","0.8323066393",0,0,"0","HBACK",3,"F","D",4,"01101    0    0    0"
"2327","0.45","0.6078028747",0,0,"0","HBACK",4,"F","B",6,"01101    0    0    0"
"2328","1.59","0.4873374401",0,0,"0","HBACK",1,"F","B",4,"01101    0    0    0"
"2329","0.92","0.59137577",0,0,"0","SEDAN",3,"F","D",3,"01101    0    0    0"
"2330","2.48","0.6078028747",0,0,"0","STNWG",2,"F","C",4,"01101    0    0    0"
"2331","1.91","0.6078028747",0,0,"0","STNWG",4,"M","A",6,"01101    0    0    0"
"2332","0.71","0.6078028747",0,0,"0","SEDAN",4,"F","B",3,"01101    0    0    0"
"2333","2.12","0.6078028747",1,1,"567.14999962","SEDAN",1,"F","D",3,"01101    0    0    0"
"2334","1.12","0.295687885",0,0,"0","SEDAN",3,"F","A",3,"01101    0    0    0"
"2335","1.11","0.3915126626",0,0,"0","PANVN",4,"F","A",5,"01101    0    0    0"
"2336","1.19","0.3915126626",0,0,"0","SEDAN",4,"M","B",4,"01101    0    0    0"
"2337","3.93","0.6078028747",0,0,"0","STNWG",2,"M","F",3,"01101    0    0    0"
"2338","1.47","0.6078028747",0,0,"0","HBACK",1,"F","B",5,"01101    0    0    0"
"2339","0.69","0.6078028747",0,0,"0","SEDAN",4,"M","B",6,"01101    0    0    0"
"2340","1.77","0.2135523614",0,0,"0","SEDAN",2,"M","B",6,"01101    0    0    0"
"2341","0.68","0.6078028747",1,1,"200","HBACK",4,"F","C",5,"01101    0    0    0"
"2342","5.236","0.9993155373",0,0,"0","STNWG",1,"F","A",4,"01101    0    0    0"
"2343","1.03","0.6078028747",0,0,"0","HBACK",2,"F","A",4,"01101    0    0    0"
"2344","0.98","0.1341546886",0,0,"0","UTE",3,"M","C",4,"01101    0    0    0"
"2345","1.88","0.3093771389",0,0,"0","STNWG",4,"F","A",5,"01101    0    0    0"
"2346","2.45","0.2135523614",1,1,"909.64999962","SEDAN",1,"M","C",6,"01101    0    0    0"
"2347","1.31","0.9171800137",0,0,"0","HBACK",2,"M","B",2,"01101    0    0    0"
"2348","1.99","0.3915126626",0,0,"0","STNWG",4,"M","C",4,"01101    0    0    0"
"2349","0.46","0.6078028747",0,0,"0","HBACK",4,"F","B",5,"01101    0    0    0"
"2350","0.87","0.6078028747",0,0,"0","HBACK",3,"F","C",2,"01101    0    0    0"
"2351","2.06","0.59137577",0,0,"0","SEDAN",2,"F","B",4,"01101    0    0    0"
"2352","0.71","0.3915126626",0,0,"0","HBACK",4,"F","B",4,"01101    0    0    0"
"2353","1.17","0.2135523614",0,0,"0","SEDAN",3,"M","A",3,"01101    0    0    0"
"2354","1.5","0.3915126626",0,0,"0","STNWG",4,"F","D",3,"01101    0    0    0"
"2355","0.92","0.6078028747",0,0,"0","HBACK",3,"F","C",5,"01101    0    0    0"
"2356","0.68","0.6078028747",0,0,"0","HBACK",4,"F","F",5,"01101    0    0    0"
"2357","0.85","0.3915126626",0,0,"0","UTE",4,"F","C",2,"01101    0    0    0"
"2358","3.55","0.2245037645",0,0,"0","STNWG",2,"F","D",4,"01101    0    0    0"
"2359","1.1","0.4079397673",0,0,"0","SEDAN",4,"F","B",2,"01101    0    0    0"
"2360","5.57","0.1067761807",0,0,"0","COUPE",1,"M","B",3,"01101    0    0    0"
"2361","0.6","0.6078028747",0,0,"0","SEDAN",4,"F","E",6,"01101    0    0    0"
"2362","0.98","0.257357974",0,0,"0","SEDAN",3,"F","B",3,"01101    0    0    0"
"2363","1.15","0.6324435318",0,0,"0","HBACK",3,"F","B",2,"01101    0    0    0"
"2364","3.94","0.4079397673",0,0,"0","STNWG",1,"M","F",2,"01101    0    0    0"
"2365","1.21","0.3915126626",0,0,"0","SEDAN",3,"M","C",4,"01101    0    0    0"
"2366","0.39","0.6078028747",0,0,"0","SEDAN",4,"M","B",4,"01101    0    0    0"
"2367","1.29","0.6078028747",0,0,"0","HBACK",2,"F","B",4,"01101    0    0    0"
"2368","3.35","0.0410677618",0,0,"0","UTE",2,"M","A",2,"01101    0    0    0"
