"nocontrat";"no";"garantie";"cout";"exposition";"zone";"puissance";"agevehicule";"ageconducteur";"bonus";"marque";"carburant";"densite";"region"
"332";1012326;2006;"1RC";1128;0.76;"E";6;9;23;95;1;"D";31;1
"333";1012522;8273;"1RC";1128.12;0.68;"E";5;0;53;50;12;"E";72;13
"334";1012629;7335;"1RC";71.29;0.76;"D";5;10;43;100;4;"E";91;0
"335";1012815;6495;"1RC";1128;0.74;"D";7;1;48;78;12;"D";22;4
"336";1012867;159;"1RC";417.52;0.72;"D";6;4;35;50;2;"D";31;13
"337";1013626;4030;"1RC";1128.12;0.24;"C";6;1;24;95;12;"D";43;1
"338";1013718;5546;"1RC";1128.12;0.27;"A";7;0;63;50;12;"D";82;13
"339";1013722;11458;"1RC";1128;0.62;"D";10;10;31;57;12;"E";11;10
"340";1013992;5701;"1RC";1128;0.47;"D";7;0;36;50;12;"D";93;13
"341";1015660;11036;"1RC";556.14;0.26;"E";7;0;43;50;12;"D";82;13
"342";1018368;39521;"1RC";1128;0.5;"B";5;5;80;50;3;"D";24;13
"343";1019342;35711;"1RC";1128.12;1;"C";4;7;76;58;2;"E";53;13
"344";1019646;36566;"1RC";14879.09;0.25;"A";7;0;43;56;2;"D";24;13
"345";1019732;45760;"1RC";16334.36;1;"A";12;13;46;62;3;"E";24;13
"346";1021740;46299;"1RC";220.22;0.11;"C";6;0;67;50;2;"D";24;13
"347";1021813;41758;"1RC";1043.65;1;"D";5;5;69;50;2;"E";52;13
"348";1023039;44991;"1RC";1128.12;0.21;"E";4;11;51;50;2;"E";11;13
"349";1023377;48467;"1RC";1128.12;0.67;"D";6;1;32;64;4;"D";24;8
"350";1023399;48520;"1RC";4314;1;"D";6;6;37;50;1;"D";24;13
"351";1023693;35512;"1RC";99.55;0.47;"F";6;12;51;50;1;"E";11;13
"352";1023979;36918;"1RC";1128;0.85;"B";8;12;48;50;1;"D";53;13
"353";1024870;49431;"1RC";919.33;0.69;"B";7;14;39;50;2;"D";24;13
"354";1025249;49485;"1RC";116.59;0.33;"B";6;10;28;50;2;"E";24;13
"355";1027128;47074;"1RC";73.3;1;"A";5;5;32;50;3;"D";24;13
"356";1027663;41885;"1RC";1128;1;"A";4;10;20;118;2;"E";24;-1
"357";1028231;37287;"1RC";939.22;1;"C";10;9;34;50;12;"D";24;13
"358";1028242;37355;"1RC";564;1;"A";9;11;46;50;13;"E";74;13
"359";1028791;41592;"1RC";63.66;0.45;"E";9;15;33;80;2;"D";93;4
"360";1031495;36613;"1RC";87.87;0.51;"B";11;15;30;50;1;"E";26;13
"361";1031868;36498;"1RC";1165.38;1;"A";6;7;31;118;2;"D";26;-1
"362";1032812;43991;"1RC";1128.12;1;"B";8;3;53;62;1;"D";24;13
"363";1034893;33694;"1RC";1128;0.8;"E";5;6;40;50;1;"E";31;13
"364";1035070;32310;"1RC";3050.25;0.58;"C";14;4;46;52;11;"E";82;13
"365";1035208;32450;"1RC";794.89;1;"C";4;1;45;50;6;"E";82;13
"366";1035448;46769;"1RC";153.74;1;"E";5;4;51;50;1;"E";82;13
"367";1035652;46787;"1RC";2636.46;1;"D";6;9;54;50;2;"D";82;13
"368";1035689;46784;"1RC";1001.53;0.86;"D";5;7;30;68;3;"D";82;7
"369";1035958;44239;"1RC";61.99;1;"B";5;7;45;50;1;"E";24;13
"370";1036075;44206;"1RC";1344.34;0.71;"D";6;9;25;95;1;"E";24;1
"371";1036938;44292;"1RC";1128.12;0.66;"E";9;10;30;95;2;"E";24;1
"372";1037045;44375;"1RC";68.98;0.46;"A";5;0;46;77;2;"D";24;4
"373";1037056;44277;"1RC";224.33;0.49;"D";9;2;38;50;12;"E";24;13
"374";1037644;37725;"1RC";1128;1;"D";9;12;73;50;1;"E";41;13
"375";1038038;31477;"1RC";1128.12;1;"C";7;11;26;106;2;"E";24;-1
"376";1039919;45135;"1RC";22.37;0.22;"E";13;2;53;50;10;"D";11;13
"377";1039999;45001;"1RC";2256;0.99;"F";7;7;62;125;5;"E";11;-1
"378";1040807;38958;"1RC";318.56;0.17;"D";6;3;27;100;5;"E";82;0
"379";1040954;38955;"1RC";304.9;0.95;"C";5;2;22;112;1;"D";82;-1
"380";1041245;32971;"1RC";1128.12;1;"A";4;6;26;100;2;"E";24;0
"381";1041406;32979;"1RC";1373.24;1;"A";6;11;42;66;1;"D";25;7
"382";1041410;32983;"1RC";1128.12;0.74;"E";6;13;32;100;1;"D";25;0
"383";1041900;42589;"1RC";1128.12;1;"B";6;4;54;52;2;"D";53;13
"384";1042603;48947;"1RC";1128.12;1;"C";4;1;52;95;2;"D";24;1
"385";1043179;37076;"1RC";74.56;1;"D";8;4;51;50;12;"D";24;13
"386";1043267;37101;"1RC";900.58;0.24;"D";14;9;27;85;3;"E";24;3
"387";1043837;41960;"1RC";0.01;0.1;"A";9;21;52;50;1;"E";25;13
"388";1043852;41983;"1RC";1128.12;0.93;"A";5;11;55;50;1;"E";24;13
"389";1044077;33892;"1RC";441.91;1;"D";7;12;42;50;11;"E";24;13
"390";1044522;38528;"1RC";5557.7;0.44;"E";6;6;53;50;2;"D";82;13
"391";1044727;38566;"1RC";1128;0.26;"E";4;11;42;50;2;"E";82;13
"392";1045323;40959;"1RC";185.98;1;"E";12;21;62;50;10;"E";82;13
"393";1046551;34600;"1RC";299.18;1;"B";6;3;80;50;2;"D";24;13
"394";1046822;34558;"1RC";1128.12;1;"B";5;7;24;100;4;"E";24;0
"395";1046933;34613;"1RC";1128.12;0.61;"A";6;3;33;88;2;"D";24;2
"396";1047629;41505;"1RC";23043.74;1;"E";8;5;25;57;2;"D";82;10
"397";1047773;41121;"1RC";128.67;1;"E";6;10;79;57;6;"E";82;10
"398";1047938;41269;"1RC";1128;1;"E";4;7;39;67;2;"E";82;7
"399";1047995;43748;"1RC";1128.12;0.84;"B";7;18;44;50;1;"E";52;13
"400";1048093;43789;"1RC";1128.12;0.43;"D";7;19;38;76;1;"E";54;5
"401";1049053;43231;"1RC";1208.14;0.8;"E";6;7;43;68;1;"D";52;7
"402";1049412;42978;"1RC";552.48;0.07;"C";9;13;49;50;1;"E";52;13
"403";1049412;42982;"1RC";117.47;0.07;"C";9;13;49;50;1;"E";52;13
"404";1049417;43165;"1RC";2798.75;1;"D";6;4;35;50;1;"D";52;13
"405";1049541;42907;"1RC";1128.12;1;"E";7;9;30;67;1;"D";52;7
"406";1049695;43051;"1RC";1081.71;0.49;"B";7;9;44;50;2;"D";52;13
"407";1050902;44880;"1RC";1302.93;0.56;"E";6;11;31;85;1;"D";11;3
"408";1051212;44889;"1RC";1230.72;0.85;"E";5;13;23;118;2;"D";11;-1
"409";1051458;44868;"1RC";1128.12;0.86;"D";5;11;37;125;2;"D";11;-1
"410";1053474;45791;"1RC";1128.12;0.72;"B";7;20;29;64;1;"D";24;8
"411";1055191;42532;"1RC";107.21;0.35;"A";8;14;32;57;1;"D";72;10
"412";1055742;38327;"1RC";272.83;1;"E";7;7;71;50;1;"D";82;13
"413";1055862;38118;"1RC";1128.12;1;"E";4;9;47;50;5;"E";82;13
"414";1055983;38270;"1RC";71.52;1;"E";5;5;63;50;5;"D";82;13
"415";1057387;35748;"1RC";548.82;0.22;"C";11;2;55;50;1;"D";53;13
"416";1057676;35763;"1RC";517.14;0.44;"B";6;12;24;80;1;"D";21;4
"417";1057728;35978;"1RC";1128;1;"C";5;5;43;68;2;"E";53;7
"418";1057833;35787;"1RC";2478.45;1;"C";6;6;27;85;1;"D";53;3
"419";1059172;39567;"1RC";1128.12;1;"E";7;2;44;50;13;"D";53;13
"420";1059794;48571;"1RC";2559.07;0.8;"E";4;4;50;50;2;"E";24;13
"421";1060101;38879;"1RC";294.44;1;"B";5;3;28;51;3;"D";31;12
"422";1060185;38856;"1RC";8985.65;0.5;"C";6;1;49;50;1;"D";31;13
"423";1061045;37663;"1RC";1128.12;0.96;"E";5;10;52;50;2;"D";41;13
"424";1061257;37639;"1RC";1282.63;0.65;"B";6;12;34;50;1;"D";41;13
"425";1061843;34210;"1RC";1128.12;1;"C";7;11;68;58;2;"D";72;13
"426";1062818;32049;"1RC";370.76;1;"E";7;7;69;68;1;"E";82;7
"427";1062879;32177;"1RC";2203.4;1;"E";12;5;47;50;12;"D";82;13
"428";1063520;49573;"1RC";408.12;0.92;"E";6;5;46;58;2;"D";93;13
"429";1063579;49586;"1RC";90.52;0.44;"E";6;15;81;58;2;"E";93;13
"430";1063769;49618;"1RC";1128.12;1;"E";6;8;47;50;1;"D";93;13
"431";1063973;49562;"1RC";608.95;0.36;"E";5;7;34;50;4;"E";93;13
"432";1064491;34458;"1RC";4573.47;0.3;"D";7;17;64;50;10;"D";82;13
"433";1064750;48891;"1RC";1128;1;"D";6;15;50;75;1;"D";82;5
"434";1065692;48632;"1RC";2652.61;1;"D";5;9;62;62;2;"E";82;13
"435";1065692;48668;"1RC";1128.12;1;"D";5;9;62;62;2;"E";82;13
"436";1066215;45275;"1RC";1000;0.94;"A";7;3;35;63;3;"D";72;13
"437";1067346;32634;"1RC";84.05;0.95;"C";6;12;43;50;5;"E";93;13
"438";1068266;37824;"1RC";269.8;0.08;"B";6;2;44;50;5;"E";43;13
"439";1068854;48211;"1RC";1524.49;1;"D";4;11;72;50;1;"E";93;13
"440";1069979;35030;"1RC";2806.62;0.83;"A";5;8;26;118;2;"D";53;-1
"441";1070217;41352;"1RC";856.88;1;"C";6;4;28;76;3;"D";82;5
"442";1070266;41181;"1RC";76.58;0.81;"E";7;13;52;76;2;"E";82;5
"443";1070266;41479;"1RC";1010.07;0.81;"E";7;13;52;76;2;"E";82;5
"444";1070692;47589;"1RC";750.78;1;"C";4;12;49;67;5;"E";74;7
"445";1072099;39983;"1RC";63.86;0.74;"D";12;9;57;62;13;"E";52;13
"446";1072136;40004;"1RC";1647.53;1;"E";8;5;46;50;10;"D";52;13
"447";1073556;31870;"1RC";1128;1;"D";6;8;42;50;6;"E";54;13
"448";1074112;33645;"1RC";1252.95;0.8;"D";5;2;23;90;3;"D";24;2
"449";1074152;33631;"1RC";1128.12;0.22;"A";7;16;63;53;1;"E";24;13
"450";1074459;37445;"1RC";534.03;0.23;"C";5;5;35;75;3;"D";41;5
"451";1075659;33021;"1RC";1128;1;"D";6;10;29;64;12;"E";93;8
"452";1075739;32919;"1RC";1128.12;1;"C";10;16;45;50;10;"E";25;13
"453";1076014;32332;"1RC";1128.12;1;"C";7;4;42;50;1;"E";82;13
"454";1076150;32328;"1RC";567.13;0.31;"E";8;13;41;80;12;"E";82;4
"455";1076172;32364;"1RC";871.47;0.43;"E";6;12;46;50;1;"D";82;13
"456";1076176;32502;"1RC";89;0.57;"C";6;7;26;76;13;"D";82;5
"457";1076255;32338;"1RC";695.98;0.78;"E";10;12;52;76;10;"D";82;5
"458";1076298;32400;"1RC";1128.12;1;"E";10;8;53;50;2;"D";82;13
"459";1076715;48109;"1RC";1128;0.08;"A";12;23;33;51;10;"D";52;12
"460";1076911;45646;"1RC";1128.12;1;"C";7;5;58;62;6;"D";82;13
"461";1077048;45636;"1RC";1128.12;0.41;"E";4;14;25;100;1;"D";82;0
"462";1077806;49049;"1RC";1240.26;1;"E";7;2;44;50;3;"E";31;13
"463";1078126;31262;"1RC";1128;0.83;"C";4;13;65;50;1;"E";72;13
"464";1078126;31280;"1RC";1398.55;0.83;"C";4;13;65;50;1;"E";72;13
"465";1078692;33778;"1RC";1128.12;1;"B";6;12;29;85;2;"D";53;3
"466";1078965;32103;"1RC";834.39;0.46;"E";7;5;39;76;5;"E";82;5
"467";1079145;32031;"1RC";1128.12;0.7;"D";5;6;42;50;4;"E";82;13
"468";1079397;32048;"1RC";1128.12;1;"E";6;9;30;59;2;"D";82;13
"469";1079466;32127;"1RC";826.68;1;"E";5;9;70;50;13;"D";82;13
"470";1080933;37680;"1RC";58711;0.75;"D";6;2;32;57;5;"D";41;10
"471";1081305;48526;"1RC";67.47;1;"C";8;12;36;50;1;"E";24;13
"472";1081399;36801;"1RC";166.28;0.84;"D";4;3;65;50;1;"E";53;13
"473";1081635;41779;"1RC";66.97;0.92;"A";8;14;46;55;3;"D";24;13
"474";1082985;39217;"1RC";730.54;0.76;"D";7;10;45;56;6;"E";52;13
"475";1083470;41831;"1RC";502.64;0.03;"C";5;3;26;72;2;"D";24;6
"476";1083616;46453;"1RC";308.59;1;"C";5;2;30;80;2;"D";24;4
"477";1083758;34890;"1RC";374.5;1;"A";4;3;49;50;1;"E";24;13
"478";1083778;34819;"1RC";1128.12;1;"C";10;9;35;50;10;"D";24;13
"479";1084358;46885;"1RC";4540.92;1;"C";6;5;37;76;2;"D";52;5
"480";1084724;46978;"1RC";1128;0.57;"D";7;13;53;72;1;"E";52;6
"481";1085139;42145;"1RC";406.17;0.95;"D";5;2;45;81;10;"D";24;3
"482";1085519;38315;"1RC";1128.12;1;"E";6;12;45;50;1;"D";82;13
"483";1085616;46665;"1RC";854.78;0.64;"E";6;16;40;50;2;"E";82;13
"484";1085737;46687;"1RC";3454.84;0.27;"D";10;2;52;50;3;"E";82;13
"485";1085806;35148;"1RC";3093.92;0.15;"C";5;2;21;95;5;"E";53;1
"486";1085954;35152;"1RC";1128.12;0.26;"B";5;3;23;90;2;"D";53;2
"487";1087527;45617;"1RC";421.67;1;"B";5;3;48;50;3;"E";53;13
"488";1087963;32242;"1RC";1128;1;"E";5;13;50;65;1;"D";82;7
"489";1087963;32138;"1RC";858.82;1;"E";5;13;50;65;1;"D";82;7
"490";1088159;35397;"1RC";1128.12;1;"A";6;8;34;65;3;"D";52;7
"491";1088753;33179;"1RC";1098.02;1;"A";6;2;42;50;2;"D";24;13
"492";1089231;47327;"1RC";1128.12;1;"A";5;3;59;52;1;"D";24;13
"493";1089700;39161;"1RC";1128.12;0.27;"D";7;15;24;100;1;"E";52;0
"494";1089776;39147;"1RC";1128.12;0.45;"B";5;14;20;100;1;"E";53;0
"495";1091018;43010;"1RC";1236.97;1;"C";9;18;30;68;2;"D";52;7
"496";1091057;42891;"1RC";1128.12;1;"E";4;3;23;125;1;"E";52;-1
"497";1091193;48003;"1RC";1128;0.72;"D";7;15;58;57;1;"E";82;10
"498";1091550;46482;"1RC";123.84;0.06;"C";4;5;41;57;4;"D";24;10
"499";1091825;34481;"1RC";877.99;0.34;"D";6;6;49;50;2;"D";82;13
"500";1091907;36212;"1RC";1128.12;1;"B";5;16;29;95;2;"D";24;1
"501";1092176;33100;"1RC";1128.12;0.64;"A";7;25;51;76;2;"E";24;5
"502";1092433;31744;"1RC";718.85;0.18;"E";7;14;36;60;3;"E";52;9
"503";1092720;42191;"1RC";1128.12;0.77;"D";6;2;31;71;3;"D";24;6
"504";1092862;48670;"1RC";1128;0.5;"A";4;13;48;58;1;"D";82;13
"505";1093213;38325;"1RC";667.98;1;"C";10;6;50;74;3;"D";82;5
"506";1093213;38471;"1RC";445.95;1;"C";10;6;50;74;3;"D";82;5
"507";1093658;37625;"1RC";12228.35;0.59;"D";5;15;60;50;2;"E";41;13
"508";1093962;43502;"1RC";80.04;1;"E";5;6;46;50;1;"E";93;13
"509";1094221;49081;"1RC";2380.38;1;"C";6;12;20;50;2;"D";31;13
"510";1094556;35057;"1RC";6.79;0.41;"E";7;14;44;100;1;"E";73;0
"511";1094657;48782;"1RC";1497.59;0.02;"D";6;4;32;53;2;"D";82;13
"512";1094850;36731;"1RC";6356.79;0.9;"E";6;6;34;50;2;"D";11;13
"513";1095536;39588;"1RC";1128;1;"E";9;2;45;68;12;"E";53;7
"514";1095800;40111;"1RC";1128.12;0.44;"C";6;4;63;71;2;"D";24;6
"515";1096057;38679;"1RC";423.46;0.62;"B";6;12;44;50;1;"D";31;13
"516";1097105;37395;"1RC";1128.12;0.15;"D";9;10;20;100;1;"E";24;0
"517";1097272;37417;"1RC";83.51;0.7;"C";4;0;28;80;12;"E";23;4
"518";1097301;35235;"1RC";1128.12;1;"B";4;8;45;138;2;"E";53;-1
"519";1097500;44720;"1RC";1128.12;0.86;"A";8;19;60;50;1;"E";24;13
"520";1098946;34714;"1RC";543.3;0.41;"D";7;11;40;72;2;"D";24;6
"521";1099030;34696;"1RC";1128.12;0.13;"D";8;5;29;90;2;"E";24;2
"522";1100299;34280;"1RC";1265.31;1;"D";7;12;40;50;1;"E";72;13
"523";1100748;42615;"1RC";1128.12;0.74;"D";6;4;45;50;2;"D";53;13
"524";1100755;42598;"1RC";1128;0.17;"D";5;11;49;50;2;"D";53;13
"525";1101344;37861;"1RC";1128.12;1;"E";7;13;42;62;2;"E";82;13
"526";1101475;37906;"1RC";1625.32;0.11;"D";4;20;57;50;1;"E";82;13
"527";1101711;32383;"1RC";876.38;0.92;"C";10;10;50;77;13;"D";82;4
"528";1102351;34988;"1RC";84.24;1;"E";12;21;34;76;10;"D";53;5
"529";1102569;39422;"1RC";679.93;0.72;"A";4;11;36;64;1;"E";24;8
"530";1102747;44619;"1RC";1128;0.66;"E";10;13;46;93;2;"D";24;1
"531";1102905;44494;"1RC";2113.14;0.08;"D";4;6;28;80;12;"E";24;4
"532";1103622;49655;"1RC";65.64;0.19;"E";5;0;46;72;1;"D";93;6
"533";1103941;37305;"1RC";1128.12;0.74;"C";8;21;47;50;3;"D";52;13
"534";1103941;37353;"1RC";659.03;0.74;"C";8;21;47;50;3;"D";52;13
"535";1104971;38569;"1RC";1128;0.1;"E";7;7;37;50;11;"D";82;13
"536";1104971;38563;"1RC";839.44;0.1;"E";7;7;37;50;11;"D";82;13
"537";1106493;46345;"1RC";1128;0.1;"D";5;7;62;50;1;"E";54;13
"538";1106610;41926;"1RC";1442.06;1;"E";4;9;48;62;1;"E";93;13
"539";1106883;45120;"1RC";77.23;0.88;"F";6;1;53;53;1;"D";11;13
"540";1106887;45118;"1RC";506.51;0.49;"F";9;7;29;51;1;"E";11;12
"541";1106928;45084;"1RC";672.48;1;"F";6;6;46;50;6;"E";11;13
"542";1107025;44964;"1RC";152.45;0.03;"F";6;5;33;50;3;"E";11;13
"543";1107055;32949;"1RC";1402.87;1;"E";7;2;56;56;5;"D";25;13
"544";1108768;44334;"1RC";1128.12;0.49;"D";5;11;48;64;5;"D";24;8
"545";1108934;33958;"1RC";402.16;0.96;"D";7;5;50;125;11;"D";11;-1
"546";1108934;34058;"1RC";5550.29;0.96;"D";7;5;50;125;11;"D";11;-1
"547";1108934;34023;"1RC";2218.69;0.96;"D";7;5;50;125;11;"D";11;-1
"548";1109135;33701;"1RC";1128;0.41;"F";9;18;42;100;11;"E";11;0
"549";1109466;49510;"1RC";14960.97;0.4;"C";6;7;44;62;2;"D";24;13
"550";1109772;36932;"1RC";1030.95;0.66;"B";5;16;37;51;2;"E";53;12
"551";1110729;42302;"1RC";511.06;0.31;"C";8;10;36;50;12;"E";91;13
"552";1111256;39019;"1RC";3427.12;0.58;"C";7;5;23;76;6;"D";82;5
"553";1111671;32709;"1RC";8722.06;0.59;"D";6;7;43;80;3;"D";93;4
"554";1111671;49996;"1RC";1128;0.59;"D";6;7;43;80;3;"D";93;4
"555";1111791;45041;"1RC";983.36;0.7;"E";6;6;50;50;3;"D";11;13
"556";1111791;45165;"1RC";590.21;0.7;"E";6;6;50;50;3;"D";11;13
"557";1111996;31546;"1RC";1128.12;1;"E";4;9;35;125;1;"D";22;-1
"558";1112086;31694;"1RC";85.96;0.46;"E";7;11;28;85;1;"E";22;3
"559";1112096;31647;"1RC";85.96;0.4;"E";12;15;24;80;11;"E";22;4
"560";1112311;40216;"1RC";275.83;0.67;"D";6;1;28;68;4;"D";24;7
"561";1112559;34505;"1RC";289.35;0.13;"D";6;6;22;90;2;"D";82;2
"562";1112689;50006;"1RC";238.22;0.88;"D";5;1;38;50;1;"D";93;13
"563";1113041;35866;"1RC";289.52;0.04;"C";5;1;26;64;3;"E";53;8
"564";1113651;36863;"1RC";79.16;0.77;"D";9;8;24;72;5;"E";53;6
"565";1114362;38274;"1RC";80.21;0.96;"E";4;1;52;50;2;"E";82;13
"566";1114428;38426;"1RC";394.9;0.49;"E";9;14;24;90;2;"E";82;2
"567";1114491;34201;"1RC";286.58;0.5;"D";7;13;36;53;1;"E";72;13
"568";1114936;40189;"1RC";1128.12;0.32;"D";4;13;62;50;2;"E";24;13
"569";1115715;37810;"1RC";94.97;1;"B";6;1;23;76;4;"D";41;5
"570";1116006;47645;"1RC";1128.12;0.48;"B";6;2;31;54;1;"D";24;11
"571";1116433;48224;"1RC";2.63;0.76;"D";7;9;30;60;4;"E";93;9
"572";1116433;48289;"1RC";1358;0.76;"D";7;9;30;60;4;"E";93;9
"573";1116706;49798;"1RC";1128.12;0.7;"C";6;14;73;95;4;"E";25;1
"574";1116733;49813;"1RC";78.24;0.48;"A";9;11;21;90;1;"E";23;2
"575";1117241;36063;"1RC";1433.12;0.75;"B";10;13;57;76;2;"D";24;5
"576";1117358;36173;"1RC";1128.12;0.58;"A";6;2;29;88;2;"D";24;2
"577";1118337;41090;"1RC";74.27;0.03;"E";7;0;45;50;1;"D";82;13
"578";1118440;47306;"1RC";359.58;0.4;"A";8;9;23;95;2;"E";24;1
"579";1118638;49949;"1RC";1783.87;0.66;"D";5;5;45;50;5;"E";24;13
"580";1118990;45815;"1RC";525.22;0.35;"A";9;1;55;50;1;"E";24;13
"581";1119297;34035;"1RC";130.54;0.81;"E";6;7;48;50;5;"E";24;13
"582";1119503;48345;"1RC";8750.45;0.39;"C";7;11;50;55;12;"E";93;13
"583";1119630;48269;"1RC";1128.12;0.15;"D";7;8;47;50;2;"E";93;13
"584";1119992;49092;"1RC";3862.14;0.46;"E";5;3;49;50;5;"E";31;13
"585";1119994;49199;"1RC";1128;0.43;"E";5;3;49;63;5;"E";31;13
"586";1120712;41192;"1RC";2593.62;0.84;"E";7;0;41;50;4;"D";82;13
"587";1120755;41326;"1RC";545.39;0.75;"C";4;5;54;50;6;"E";82;13
"588";1120822;33171;"1RC";1356.79;0.29;"D";7;5;46;59;4;"E";24;13
"589";1120952;33261;"1RC";2906.15;0.66;"C";5;16;23;85;5;"E";24;3
"590";1121268;49723;"1RC";96.64;0.05;"C";6;4;25;95;3;"E";31;1
"591";1121353;48144;"1RC";323.13;1;"E";6;5;26;76;3;"D";93;5
"592";1122134;34374;"1RC";277.68;0.75;"C";5;8;54;58;2;"D";72;13
"593";1122246;34341;"1RC";1128;0.39;"E";7;0;38;67;1;"D";72;7
"594";1122301;34366;"1RC";1128;0.1;"D";4;16;36;68;2;"E";72;7
"595";1122543;37714;"1RC";1128;0.45;"C";5;9;39;50;5;"D";41;13
"596";1122785;36645;"1RC";81.25;0.95;"C";6;16;33;50;1;"D";26;13
"597";1123300;43233;"1RC";564;0.73;"D";6;6;37;69;1;"D";52;6
"598";1123300;42911;"1RC";1128.12;0.73;"D";6;6;37;69;1;"D";52;6
"599";1123381;48199;"1RC";1128.12;0.56;"E";7;14;72;50;5;"D";93;13
"600";1123505;48446;"1RC";1301.16;0.62;"C";13;35;68;50;11;"E";93;13
"601";1123914;44592;"1RC";1128.12;0.21;"C";7;10;37;71;6;"D";24;6
"602";1124405;48332;"1RC";1128.12;0.49;"E";10;14;54;50;2;"D";93;13
"603";1124441;48404;"1RC";213.37;0.34;"C";6;14;59;68;1;"E";93;7
"604";1125388;36109;"1RC";739.84;1;"D";4;10;53;50;2;"E";24;13
"605";1125525;48963;"1RC";65.27;1;"C";7;9;57;50;2;"E";24;13
"606";1126940;40264;"1RC";1974.81;1;"A";7;6;42;50;1;"E";24;13
"607";1127622;46498;"1RC";35.1;1;"E";4;1;40;62;2;"E";72;13
"608";1127849;43026;"1RC";363.58;1;"C";5;11;38;50;2;"D";52;13
"609";1128356;45013;"1RC";553.54;0.38;"F";9;13;47;50;1;"E";11;13
"610";1128643;49001;"1RC";1128;1;"B";5;16;90;58;2;"E";24;13
"611";1129553;44607;"1RC";4598.9;0.85;"E";5;9;67;50;5;"D";24;13
"612";1129553;44394;"1RC";1047.18;0.85;"E";5;9;67;50;5;"D";24;13
"613";1130244;42933;"1RC";1128.12;1;"B";6;15;38;50;1;"D";52;13
"614";1130369;35686;"1RC";2929.32;1;"C";10;1;37;51;2;"E";53;12
"615";1130527;46527;"1RC";1128;1;"C";6;4;54;62;1;"D";24;13
"616";1130859;47051;"1RC";917.15;0.87;"B";5;1;49;50;2;"D";24;13
"617";1131668;44510;"1RC";1128;1;"E";6;5;64;55;1;"E";24;13
"618";1132366;40551;"1RC";1128.12;0.69;"D";7;12;46;50;1;"E";53;13
"619";1133357;44210;"1RC";85.33;1;"E";6;3;43;62;1;"E";24;13
"620";1133390;44488;"1RC";1128.12;1;"E";5;3;50;58;6;"E";53;13
"621";1133567;41023;"1RC";1444.43;1;"D";4;5;51;50;1;"E";82;13
"622";1133787;46419;"1RC";585.81;1;"A";6;8;57;50;5;"E";54;13
"623";1133867;33001;"1RC";1128.12;1;"C";7;12;77;58;1;"E";25;13
"624";1134314;41049;"1RC";331.34;1;"E";4;12;61;62;1;"E";93;13
"625";1135438;38727;"1RC";1128.12;1;"A";7;6;55;50;2;"D";24;13
"626";1135696;40808;"1RC";1128.12;0.74;"B";6;6;34;62;3;"D";52;13
"627";1136195;38505;"1RC";10298.77;0.9;"C";5;1;73;62;1;"D";82;13
"628";1137325;46104;"1RC";863.86;1;"C";5;4;57;50;6;"E";82;13
"629";1138145;41254;"1RC";19.81;0.78;"E";6;13;54;76;1;"D";82;5
"630";1138196;44649;"1RC";91.91;1;"E";8;14;34;68;12;"E";24;7
"631";1138966;40491;"1RC";5601.67;1;"D";5;8;52;59;1;"E";53;13
"632";1139366;38695;"1RC";385.57;1;"A";6;5;39;50;2;"D";24;13
"633";1139639;41837;"1RC";656.9;0.46;"C";7;11;64;50;2;"E";24;13
"634";1140302;35246;"1RC";1128.12;1;"C";4;10;65;50;2;"E";53;13
"635";1140624;45757;"1RC";1128.12;0.05;"B";7;0;37;50;4;"D";11;13
"636";1141875;42887;"1RC";1600.16;0.89;"D";7;11;35;50;2;"D";52;13
"637";1142146;35631;"1RC";2558.86;0.49;"D";6;6;33;54;1;"D";54;11
"638";1142735;38079;"1RC";1128;0.24;"E";6;5;34;90;5;"E";82;2
"639";1144371;38491;"1RC";1128.12;0.43;"B";7;13;60;62;3;"E";82;13
"640";1144451;44603;"1RC";1285.53;1;"B";7;11;37;60;3;"E";24;9
"641";1144492;38204;"1RC";609.8;1;"C";6;7;68;62;1;"E";82;13
"642";1144703;40571;"1RC";1128.12;0.41;"E";7;4;41;50;1;"E";53;13
"643";1144843;40754;"1RC";1128;1;"A";11;3;51;60;12;"D";26;9
"644";1144843;40601;"1RC";1128.12;1;"A";11;3;51;60;12;"D";26;9
"645";1147161;33625;"1RC";18806.7;1;"C";7;14;53;100;1;"E";24;0
"646";1147461;42673;"1RC";1128.12;0.68;"D";5;10;61;57;3;"D";53;10
"647";1149148;39329;"1RC";1128.12;0.83;"A";4;11;35;63;2;"E";24;13
"648";1150353;40103;"1RC";1128.12;0.16;"B";7;10;29;72;1;"D";24;6
"649";1151820;40853;"1RC";1128;1;"A";6;10;46;50;1;"D";52;13
"650";1152120;45058;"1RC";1507.1;0.91;"C";4;5;53;50;6;"E";11;13
"651";1152757;41593;"1RC";1109.62;0.35;"C";4;14;68;85;1;"E";24;3
"652";1154828;31147;"1RC";1909.17;1;"F";6;12;49;72;14;"E";11;6
"653";1155303;44917;"1RC";1398.7;1;"E";5;7;26;80;1;"E";11;4
"654";1155547;46094;"1RC";4429.32;1;"A";4;11;32;99;3;"D";24;0
"655";1155644;44372;"1RC";356.81;1;"C";5;2;42;57;6;"D";24;10
"656";1155728;35458;"1RC";75.94;0.45;"C";14;10;34;68;11;"E";24;7
"657";1156136;44707;"1RC";1128.12;1;"B";7;6;43;50;10;"D";24;13
